"천연및화학섬유직물",119.23,119.26,113.16,113.16,113.16,113.16
"기타섬유직물",109.39,110.77,110.93,111.08,111.21,111.21
"직물제품",114.71,114.71,114.83,114.83,114.83,114.60
"직물제품",115.18,115.18,115.26,115.26,115.26,115.25
"부직포및펠트",108.03,108.03,108.52,108.52,108.52,107.55
"기타섬유제품",117.74,117.74,117.52,117.51,117.51,117.48
"의복제품",117.30,117.30,117.30,117.30,117.56,117.74
"봉제의류",118.24,118.24,118.24,118.24,118.53,118.66
"편조의류",113.82,113.82,113.82,113.82,114.05,116.39
"의복관련장신품",106.36,106.36,106.36,106.36,106.36,106.36
"가죽제품",103.82,103.82,104.31,104.31,104.31,104.01
"가죽제품",103.82,103.82,104.31,104.31,104.31,104.01
"가죽",114.48,114.48,117.17,117.17,117.17,115.54
"가방및핸드백",107.57,107.57,107.57,107.57,107.57,107.57
"신발",97.40,97.40,97.43,97.43,97.43,97.40
"목재및종이제품",121.22,121.24,121.64,123.33,123.45,123.41
"목재및목제품",123.57,123.25,123.30,123.35,123.63,123.65
"목재",124.23,123.62,123.70,123.81,124.36,124.39
"제재목",131.77,130.48,131.10,131.09,132.46,132.46
"합판",116.68,116.68,116.78,116.78,116.78,116.94
"강화및재생목재",115.43,115.63,114.59,115.05,114.37,114.37
"목제품",123.01,123.01,123.01,123.01,123.01,123.01
"건축용목제품",104.69,104.69,104.69,104.69,104.69,104.69
"목재용기및적재판",137.95,137.95,137.95,137.95,137.95,137.95
"펄프및종이제품",120.28,120.43,120.95,123.22,123.28,123.22
"펄프",189.63,191.67,177.01,147.92,142.68,143.35
"펄프",189.63,191.67,177.01,147.92,142.68,143.35
"종이류",112.87,113.30,115.17,118.94,119.07,119.03
"인쇄용지",118.84,118.56,117.99,118.48,119.20,119.11
"기타원지및판지",109.00,109.83,113.10,118.70,118.49,118.49
"종이제품",122.81,122.83,122.87,124.77,124.85,124.77
"골판지및골판지가공품",129.75,129.75,129.75,133.97,133.97,133.97
"종이용기",121.06,121.17,121.25,121.36,121.25,121.07
"종이문구및사무용지",115.76,115.76,115.85,115.84,115.90,115.62
"위생용종이제품",114.05,114.05,114.05,114.83,114.83,114.83
"기타종이제품",120.47,120.45,120.62,120.20,120.95,120.72
"석탄및석유제품",193.65,193.33,198.72,190.85,179.54,183.15
"석탄및석유제품",193.65,193.33,198.72,190.85,179.54,183.15
"석탄제품",140.33,140.33,135.15,135.15,135.15,122.16
"석탄코크스및석탄관련제품",185.40,185.40,172.91,172.91,172.91,141.66
"연탄",100.00,100.00,100.00,100.00,100.00,100.00
"원유정제처리제품",197.34,197.03,203.25,194.54,182.09,186.41
"나프타",196.60,203.61,208.61,199.85,192.35,204.85
"휘발유",208.62,199.36,208.41,194.93,180.34,184.48
"제트유",260.17,244.41,250.69,250.59,227.67,213.09
"등유",191.62,196.90,201.34,188.56,174.56,177.18
"경유",200.85,202.22,212.51,196.85,179.15,184.26
"중유",164.70,161.94,159.42,163.79,157.60,156.31
"액화석유가스",154.18,154.18,154.18,161.80,161.80,161.80
"윤활유및기타석유정제품",163.17,162.61,162.30,160.48,157.27,156.75
"윤활유및그리스",172.46,172.46,172.46,172.46,172.46,172.46
"기타석유정제제품",156.17,155.19,154.63,151.43,145.78,144.84
"화학제품",125.58,125.55,125.48,124.62,122.91,123.01
"기초화학물질",165.05,165.71,165.22,161.59,154.49,154.67
"기초유기화학물질",179.36,180.22,179.29,174.24,164.54,164.68
"지방족기초유분",153.38,155.98,157.85,157.35,153.71,153.04
"방향족기초유분",229.05,229.57,225.22,214.12,193.24,195.50
"석유화학중간제품",148.32,149.46,150.35,146.14,139.24,138.32
"기타기초유기화합물",169.90,168.43,166.95,164.47,161.32,160.39
"기초무기화학물질",126.20,126.36,126.93,126.99,126.76,127.03
"산업용가스",128.84,128.71,129.83,130.01,129.92,129.54
"기초무기화합물",121.46,121.52,121.69,121.61,121.42,122.71
"염료,안료및유연제",125.10,126.79,126.11,126.11,125.27,125.27
"합성수지및합성고무",122.17,122.89,123.47,122.87,121.62,121.46
"합성수지및합성고무",122.17,122.89,123.47,122.87,121.62,121.46
"합성수지",119.41,119.90,120.20,118.99,117.97,117.24
"합성고무",157.19,161.49,166.49,175.30,170.77,179.28
"화학섬유",132.23,134.53,134.53,133.49,133.49,133.49
"화학섬유",132.23,134.53,134.53,133.49,133.49,133.49
"화학섬유",132.23,134.53,134.53,133.49,133.49,133.49
"의약품",101.03,100.76,100.59,100.58,100.46,100.47
"의약품",101.03,100.76,100.59,100.58,100.46,100.47
"의약품",101.03,100.76,100.59,100.58,100.46,100.47
"비료및농약",122.13,122.23,121.26,121.15,121.15,121.15
"비료및농약",122.13,122.23,121.26,121.15,121.15,121.15
"비료및질소화합물",123.75,123.75,122.29,122.11,122.11,122.11
"살충제및농약",117.85,118.13,118.13,118.13,118.13,118.13
"기타화학제품",112.66,112.58,112.85,112.84,113.32,113.47
"도료및잉크",119.70,119.50,119.54,119.46,118.97,119.16
"도료",120.16,119.91,119.98,119.86,119.28,119.52
"잉크",115.72,115.84,115.75,115.93,116.01,115.82
"비누및화장품",107.22,106.96,107.28,107.57,107.72,107.72
"비누,세제및치약",116.57,116.57,116.93,117.00,117.33,117.33
"화장품",102.29,101.93,102.21,102.61,102.68,102.68
"기타화학제품",113.47,113.55,113.85,113.70,114.67,114.90
"접착제및젤라틴",123.41,123.41,123.41,123.41,123.41,123.41
"사진용화학제품및감광재료",123.71,123.71,123.71,123.71,123.71,123.71
"기타화학제품",111.25,111.34,111.69,111.51,112.68,112.95
"플라스틱제품",117.32,116.55,116.44,116.46,115.98,116.09
"플라스틱1차제품",121.84,121.84,121.84,121.84,121.79,121.82
"플라스틱1차제품",121.84,121.84,121.84,121.84,121.79,121.82
"기타플라스틱제품",116.48,115.58,115.47,115.47,114.92,115.05
"건축용플라스틱제품",117.07,117.07,117.03,117.05,117.08,117.00
"포장용플라스틱제품",126.47,126.71,126.96,127.39,127.39,127.39
"운송장비및조립용플라스틱제품",104.76,104.76,104.78,104.83,104.86,104.88
"기타플라스틱제품",126.51,122.95,122.28,121.88,119.74,120.25
"고무제품",115.63,115.80,115.84,115.84,115.87,116.14
"타이어및튜브",118.62,118.62,118.66,118.66,118.80,118.80
"타이어및튜브",118.62,118.62,118.66,118.66,118.80,118.80
"기타고무제품",114.15,114.41,114.46,114.46,114.44,114.85
"산업용고무제품",114.88,115.18,115.21,115.21,115.19,115.64
"기타고무제품",108.52,108.52,108.52,108.52,108.52,108.52
"비금속광물제품",129.62,129.58,129.36,129.07,128.98,128.95
"유리및유리제품",111.60,111.60,111.66,111.66,111.49,111.43
"유리및유리제품",111.60,111.60,111.66,111.66,111.49,111.43
"판유리및1차유리제품",106.81,106.81,106.81,106.81,106.81,106.82
"전자기기용유리제품",100.29,100.29,100.29,100.29,99.63,99.63
"산업용유리제품(전자기기용제외)",115.87,115.87,116.01,116.01,116.01,115.88
"기타유리제품",129.55,129.55,129.55,129.55,129.55,129.55
"기타비금속광물제품",134.15,134.10,133.82,133.44,133.37,133.35
"도자기및요업제품",127.34,128.24,128.24,128.24,128.24,128.65
"가정용도자기",147.89,152.34,152.34,152.34,152.34,152.34
"산업용도자기",134.75,134.75,134.75,134.75,134.75,134.75
"내화요업제품",121.51,121.51,121.51,121.51,121.51,122.37
"건설용비내화요업제품",110.58,110.58,110.58,110.58,110.58,110.58
"시멘트",160.01,160.01,160.01,160.01,160.01,160.01
"시멘트",160.01,160.01,160.01,160.01,160.01,160.01
"콘크리트제품",133.94,133.35,132.84,132.24,132.07,132.07
"레미콘",141.24,140.89,140.13,139.37,138.90,138.90
"콘크리트제품",119.44,118.37,118.37,118.08,118.54,118.54
"기타비금속광물제품",124.47,125.28,125.28,125.11,125.21,124.97
"석회및석고제품",124.15,124.15,124.15,124.15,124.15,124.15
"석제품",106.09,106.09,106.09,106.09,106.09,106.09
"연마재",109.24,109.24,109.24,109.24,109.24,109.24
"아스콘및아스팔트제품",150.23,153.69,153.69,153.69,153.69,152.89
"기타비금속광물제품",107.31,106.35,106.35,105.73,106.08,106.11
"1차금속제품",139.47,139.55,139.47,137.31,136.49,136.68
"철강1차제품",135.27,135.53,135.96,134.33,133.02,132.06
"선철및조강",132.25,136.80,143.77,139.03,133.42,134.58
"선철",141.50,141.50,141.50,141.50,141.50,141.50
"합금철",118.19,127.34,142.35,132.26,124.23,126.68
"조강",138.13,138.66,138.37,138.44,134.31,134.31
"열간압연강재",135.12,134.50,134.04,132.91,132.48,131.51
"철근및봉강",143.36,141.07,139.56,142.28,144.03,140.40
"형강",134.75,134.66,135.19,135.74,136.10,135.25
"선재및궤조",125.59,126.71,124.78,124.87,123.34,123.34
"중후판(두께3mm이상)",141.84,139.27,142.92,132.21,129.35,129.35
"열연강판",128.72,129.42,127.93,126.12,125.48,125.48
"강선",129.22,129.22,129.09,128.78,128.50,128.42
"철강관",134.68,134.68,133.79,133.79,132.93,132.50
"냉간압연강재",144.94,145.63,144.98,142.48,141.48,141.08
"냉간압연강재",144.94,145.63,144.98,142.48,141.48,141.08
"기타철강1차제품",133.33,134.64,136.31,134.39,131.78,130.28
"표면처리강재",141.73,141.33,140.20,137.27,135.49,134.59
"기타철강1차제품",125.53,128.34,132.49,131.46,128.13,126.08
"비철금속괴및1차제품",152.50,151.87,149.95,145.99,146.17,150.36
"비철금속괴",160.24,158.40,156.67,151.63,152.32,158.34
"동제련,정련및합금제품",190.89,183.73,178.35,167.71,170.63,179.28
"알루미늄제련,정련및합금제품",155.11,156.61,154.87,153.74,152.95,151.09
"연및아연제련,정련및합금제품",141.57,145.38,141.27,136.13,132.69,136.83
"금은괴",156.50,156.95,161.16,161.08,165.02,177.23
"기타비철금속제련,정련및합금제품",166.94,151.34,151.34,137.83,134.75,143.25
"비철금속1차제품",143.55,144.40,142.23,139.61,139.17,141.12
"동1차제품",158.76,159.70,155.34,151.07,150.96,153.60
"알루미늄1차제품",131.37,132.46,132.14,131.01,129.93,131.16
"기타비철금속1차제품",139.98,139.64,139.36,137.64,138.10,140.10
"금속주물",126.60,127.70,129.93,129.77,129.59,125.42
"금속주물",126.60,127.70,129.93,129.77,129.59,125.42
"금속주물",126.60,127.70,129.93,129.77,129.59,125.42
