"전국","미역",120.86,121.07,121.08,121.12,121.35,121.66
"전국","공업제품",114.14,113.82,114.37,114.29,113.66,113.73
"전국","가공식품",119.22,119.03,119.65,119.78,119.59,120.56
"전국","밀가루",136.65,136.61,135.55,136.00,132.49,135.41
"전국","국수",149.03,147.31,150.93,150.80,150.40,153.69
"전국","라면",117.36,117.45,116.39,116.03,117.97,118.26
"전국","당면",136.42,137.20,137.34,137.93,124.02,135.39
"전국","두부",118.09,118.67,117.97,118.60,117.73,117.84
"전국","시리얼",122.20,125.73,119.71,116.63,110.90,126.17
"전국","부침가루",144.90,143.61,141.31,143.10,128.51,142.56
"전국","케이크",124.51,124.50,124.54,124.57,124.57,126.20
"전국","빵",130.19,130.19,130.21,130.10,130.13,130.13
"전국","떡",120.44,121.08,121.43,121.45,121.63,121.74
"전국","파스타면",134.42,134.99,133.41,132.60,132.61,132.99
"전국","소시지",112.23,113.22,112.90,115.85,113.44,115.26
"전국","햄및베이컨",115.91,115.82,114.69,111.66,114.41,116.74
"전국","기타육류가공품",134.17,130.12,132.75,131.59,131.39,133.33
"전국","오징어채",104.38,105.74,107.86,107.81,110.44,115.86
"전국","북어채",116.80,116.68,118.19,119.26,117.67,117.13
"전국","어묵",126.19,125.31,124.22,125.97,124.37,123.46
"전국","맛살",135.47,135.04,135.10,134.98,128.02,134.86
"전국","수산물통조림",119.71,120.51,120.82,120.26,121.18,121.45
"전국","젓갈",106.54,106.30,105.73,106.50,106.40,106.50
"전국","우유",123.55,123.49,123.87,124.01,123.58,123.70
"전국","분유",106.09,106.09,104.53,107.42,109.08,109.67
"전국","치즈",138.59,138.56,138.27,137.50,137.58,140.43
"전국","발효유",122.99,123.11,124.61,124.19,122.89,123.86
"전국","참기름",139.47,141.87,142.34,144.58,149.17,150.68
"전국","식용유",182.35,182.93,170.74,173.10,171.78,183.27
"전국","과일가공품",135.62,136.42,136.77,134.67,138.11,133.68
"전국","단무지",112.22,111.26,111.22,111.89,106.27,110.64
"전국","맛김",115.78,118.01,124.56,126.20,127.38,130.39
