"아시아",카자흐스탄,20.794 (annual %),21.197 (annual growth as % of broad money),1.983 (annual growth as % of broad money),-,-,-,13.943 (annual %),14.206 (annual growth as % of broad money),0.740 (annual growth as % of broad money),-,-,-,11.680 (annual %),16.870 (annual growth as % of broad money),6.364 (annual growth as % of broad money),-,-,-
"아시아",대한민국,12.934 (annual %),13.368 (annual growth as % of broad money),0.387 (annual growth as % of broad money),1.197 (%),2.884 (%),0.118 (%),4.000 (annual %),8.206 (annual growth as % of broad money),0.445 (annual growth as % of broad money),3.122 (%),4.293 (%),2.979 (%),3.893 (annual %),5.049 (annual growth as % of broad money),1.133 (annual growth as % of broad money),3.844 (%),5.189 (%),3.062 (%)
"아시아",쿠웨이트,3.793 (annual %),7.524 (annual growth as % of broad money),6.313 (annual growth as % of broad money),1.401 (%),3.706 (%),-18.805 (%),6.453 (annual %),9.200 (annual growth as % of broad money),-3.769 (annual growth as % of broad money),1.603 (%),3.913 (%),-15.751 (%),1.042 (annual %),3.048 (annual growth as % of broad money),-2.362 (annual growth as % of broad money),2.499 (%),4.928 (%),15.576 (%)
"아시아",키르기스스탄,19.117 (annual %),7.998 (annual growth as % of broad money),-0.873 (annual growth as % of broad money),1.288 (%),16.623 (%),0.543 (%),30.592 (annual %),6.398 (annual growth as % of broad money),-2.464 (annual growth as % of broad money),1.403 (%),18.665 (%),-0.829 (%),-,-,-,1.299 (%),19.106 (%),5.017 (%)
"아시아",마카오,-0.696 (annual %),3.796 (annual growth as % of broad money),8.279 (annual growth as % of broad money),0.164 (%),5.260 (%),6.193 (%),4.388 (annual %),1.112 (annual growth as % of broad money),3.378 (annual growth as % of broad money),0.258 (%),5.343 (%),4.036 (%),1.096 (annual %),-4.682 (annual growth as % of broad money),6.256 (annual growth as % of broad money),0.635 (%),6.010 (%),-0.488 (%)
"아시아",말레이시아,5.559 (annual %),3.920 (annual growth as % of broad money),1.419 (annual growth as % of broad money),1.562 (%),3.444 (%),-2.141 (%),3.997 (annual %),4.257 (annual growth as % of broad money),1.820 (annual growth as % of broad money),1.949 (%),3.908 (%),-2.384 (%),5.832 (annual %),5.419 (annual growth as % of broad money),2.349 (annual growth as % of broad money),2.650 (%),5.317 (%),7.319 (%)
"아시아",몰디브,26.185 (annual %),4.437 (annual growth as % of broad money),7.176 (annual growth as % of broad money),3.690 (%),11.565 (%),8.598 (%),6.038 (annual %),3.659 (annual growth as % of broad money),10.480 (annual growth as % of broad money),3.728 (%),10.929 (%),7.495 (%),6.860 (annual %),7.518 (annual growth as % of broad money),8.768 (annual growth as % of broad money),3.997 (%),11.682 (%),8.563 (%)
"아시아",몽골,13.818 (annual %),16.866 (annual growth as % of broad money),4.309 (annual growth as % of broad money),6.600 (%),16.007 (%),1.387 (%),6.465 (annual %),9.533 (annual growth as % of broad money),-4.164 (annual growth as % of broad money),-,-,-,26.831 (annual %),18.523 (annual growth as % of broad money),-7.360 (annual growth as % of broad money),-,-,-
"아시아",네팔,14.692 (annual %),24.595 (annual growth as % of broad money),0.801 (annual growth as % of broad money),-,-,-,7.643 (annual %),3.678 (annual growth as % of broad money),5.597 (annual growth as % of broad money),-,-,-,14.283 (annual %),4.440 (annual growth as % of broad money),4.651 (annual growth as % of broad money),-,-,-
"아시아",오만,-,-,-,4.152 (%),5.498 (%),-6.387 (%),-,-,-,-,-,-,-,-,-,-,-,-
